@relation wineQuality

@attribute fixedAcidity numeric
@attribute volatileAcidity numeric
@attribute citricAcid numeric
@attribute residualSugar numeric
@attribute chlorides numeric
@attribute freeSulfurDioxide numeric
@attribute totalSulfurDioxide numeric
@attribute density numeric
@attribute pH numeric
@attribute sulphates numeric
@attribute alcohol numeric
@attribute class {1,2,3,4,5,6,7,8,9}

@data
5.7,0.18,0.26,2.2,0.023,21,95,0.9893,3.07,0.54,12.3,6
6.8,0.15,0.41,12.9,0.044,79.5,182,0.99742,3.24,0.78,10.2,6
8.1,0.24,0.26,11,0.043,41,211,0.99676,3.11,0.49,10,6
7,0.38,0.49,2.5,0.097,33,85,0.9962,3.39,0.77,11.4,6
7,0.2,0.4,1.1,0.058,30,93,0.99322,3.03,0.38,9.2,6
9.1,0.6,0,1.9,0.058,5,10,0.9977,3.18,0.63,10.4,6
6.9,0.36,0.25,2.4,0.098,5,16,0.9964,3.41,0.6,10.1,6
6.1,0.27,0.31,3.9,0.034,42,137,0.99218,3.24,0.46,10.9,6
5.8,0.42,0.3,2.2,0.035,26,129,0.989,3.32,0.47,12.9,6
6.1,0.24,0.27,11.5,0.05,51,133,0.99476,3.22,0.37,10.8,6
6.4,0.14,0.28,7.9,0.057,21,82,0.99425,3.26,0.36,10,6
6.9,0.22,0.32,5.8,0.041,20,119,0.99296,3.17,0.55,11.2,6
6,0.51,0,2.1,0.064,40,54,0.995,3.54,0.93,10.7,6
7.3,0.18,0.31,17.3,0.055,32,197,1.0002,3.13,0.46,9,6
7.3,0.19,0.24,6.3,0.054,34,231,0.9964,3.36,0.54,10,6
6.1,0.19,0.37,2.6,0.041,24,99,0.99153,3.18,0.5,10.9,6
8.5,0.19,0.49,3.5,0.044,29,117,0.9938,3.14,0.51,10.1,6
6.2,0.17,0.3,1.1,0.037,14,79,0.993,3.5,0.54,10.3,6
9.1,0.4,0.57,4.6,0.08,6,20,0.99652,3.28,0.57,12.5,6
7.4,0.2,1.66,2.1,0.022,34,113,0.99165,3.26,0.55,12.2,6
8.5,0.21,0.26,9.25,0.034,73,142,0.9945,3.05,0.37,11.4,6
6.3,0.47,0,1.4,0.055,27,33,0.9922,3.45,0.48,12.3,6
7.3,0.14,0.49,1.1,0.038,28,99,0.9928,3.2,0.72,10.6,6
6.4,0.34,0.23,6.3,0.039,37,143,0.9944,3.19,0.65,10,6
6.7,0.18,0.19,4.7,0.046,57,161,0.9946,3.32,0.66,10.5,6
6.6,0.24,0.3,13,0.052,18,143,0.99825,3.37,0.49,9.4,6
7.4,0.63,0.07,2.4,0.09,11,37,0.9979,3.43,0.76,9.7,6
7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,6
6.3,0.28,0.47,11.2,0.04,61,183,0.99592,3.12,0.51,9.5,6
7.2,0.24,0.36,2,0.029,21,63,0.99076,3.13,0.63,12.5,6
7.8,0.42,0.23,8.8,0.054,42,215,0.9971,3.02,0.58,9.2,6
7.7,0.715,0.01,2.1,0.064,31,43,0.99371,3.41,0.57,11.8,6
6.8,0.22,0.37,15.2,0.051,68,178,0.99935,3.4,0.85,9.3,6
6.4,0.37,0.49,13.3,0.045,53,243,0.9982,3.14,0.48,8.5,6
8.3,0.23,0.3,2.1,0.049,21,153,0.9953,3.09,0.5,9.6,6
6.9,0.22,0.49,7,0.063,50,168,0.9957,3.54,0.5,10.3,6
7.8,0.32,0.33,10.4,0.031,47,194,0.99692,3.07,0.58,9.6,6
7.2,0.4,0.38,2.2,0.03,40,109,0.99075,3.27,0.46,12.6,6
5.2,0.38,0.26,7.7,0.053,20,103,0.9925,3.27,0.45,12.2,6
7.3,0.22,0.3,8.2,0.047,42,207,0.9966,3.33,0.46,9.5,6
6.4,0.37,0.19,3.5,0.068,18,101,0.9934,3.03,0.38,9,6
7.3,0.22,0.37,14.3,0.063,48,191,0.9978,2.89,0.38,9,6
7.5,0.29,0.67,8.1,0.037,53,166,0.9966,2.9,0.41,8.9,6
6.1,0.16,0.29,6,0.03,29,144,0.99474,3.68,0.46,10.7,6
8,0.24,0.33,1.2,0.044,28,101,0.99035,3.03,0.43,12.5,6
7.2,0.24,0.36,2,0.029,21,63,0.99076,3.13,0.63,12.5,6
7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5,6
8.1,0.33,0.36,7.4,0.037,36,156,0.99592,3.19,0.54,10.6,6
6.5,0.34,0.46,1,0.023,6,80,0.98865,3.15,0.54,12.9,6
7.6,0.36,0.31,1.7,0.079,26,65,0.99716,3.46,0.62,9.5,6
9.1,0.795,0,2.6,0.096,11,26,0.9994,3.35,0.83,9.4,6
6.7,0.16,0.32,12.5,0.035,18,156,0.99666,2.88,0.36,9,6
6.5,0.26,0.27,12.9,0.044,69,215,0.9967,3.17,0.43,10,6
7.5,0.23,0.32,9.2,0.038,54,191,0.9966,3.04,0.56,9.7,6
7,0.69,0.07,2.5,0.091,15,21,0.99572,3.38,0.6,11.3,6
7.9,0.27,0.27,1.7,0.034,25,122,0.99088,2.97,0.51,11.9,6
7,0.2,0.34,5.7,0.035,32,83,0.9928,3.19,0.46,11.5,6
4.8,0.34,0,6.5,0.028,33,163,0.9939,3.36,0.61,9.9,6
6.8,0.62,0.08,1.9,0.068,28,38,0.99651,3.42,0.82,9.5,6
6.5,0.29,0.32,3,0.036,38,93,0.9906,3.16,0.59,12,6
8.8,0.48,0.41,3.3,0.092,26,52,0.9982,3.31,0.53,10.5,6
8.2,0.23,0.29,1.8,0.047,47,187,0.9933,3.13,0.5,10.2,6
5.6,0.15,0.26,5.55,0.051,51,139,0.99336,3.47,0.5,11,6
6.7,0.13,0.32,3.7,0.017,32,99,0.99348,3.12,0.44,10,6
7.2,0.39,0.44,2.6,0.066,22,48,0.99494,3.3,0.84,11.5,6
6,0.27,0.26,1.3,0.038,32,138,0.99125,3.46,0.43,11.1,6
6.4,0.16,0.28,2.2,0.042,33,93,0.9914,3.31,0.43,11.1,6
6.2,0.23,0.36,17.2,0.039,37,130,0.99946,3.23,0.43,8.8,6
6.1,0.37,0.36,4.7,0.035,36,116,0.991,3.31,0.62,12.6,6
7.9,0.26,0.33,10.3,0.039,73,212,0.9969,2.93,0.49,9.5,6
6.2,0.3,0.33,3.5,0.037,37,155,0.98987,3.18,0.37,12.4,6
13,0.47,0.49,4.3,0.085,6,47,1.0021,3.3,0.68,12.7,6
4.8,0.29,0.23,1.1,0.044,38,180,0.98924,3.28,0.34,11.9,6
7.3,0.23,0.24,0.9,0.031,29,86,0.98926,2.9,0.38,12.2,6
6.6,0.56,0.16,3.1,0.045,28,92,0.994,3.12,0.35,9.1,6
7.5,0.31,0.41,2.4,0.065,34,60,0.99492,3.34,0.85,11.4,6
7,0.2,0.37,2,0.03,26,136,0.9932,3.28,0.61,10.2,6
6.5,0.29,0.52,7.9,0.049,35,192,0.99551,3.16,0.51,9.5,6
6.6,0.23,0.3,14.9,0.051,33,118,0.99835,3.04,0.54,9,6
6,0.16,0.36,1.6,0.042,13,61,0.99143,3.22,0.54,10.8,6
8.6,0.16,0.38,3.4,0.04,41,143,0.9932,2.95,0.39,10.2,6
5.4,0.255,0.33,1.2,0.051,29,122,0.99048,3.37,0.66,11.3,6
6.7,0.41,0.43,2.8,0.076,22,54,0.99572,3.42,1.16,10.6,6
5.2,0.36,0.02,1.6,0.031,24,104,0.9896,3.44,0.35,12.2,6
7,0.28,0.32,1.7,0.038,27,128,0.99375,3.2,0.62,10.2,6
5.1,0.29,0.28,8.3,0.026,27,107,0.99308,3.36,0.37,11,6
7.7,0.29,0.48,2.3,0.049,36,178,0.9931,3.17,0.64,10.6,6
5.7,0.21,0.25,1.1,0.035,26,81,0.9902,3.31,0.52,11.4,6
5.3,0.2,0.31,3.6,0.036,22,91,0.99278,3.41,0.5,9.8,6
7.9,0.18,0.36,5.9,0.058,31,132,0.995,3.25,0.52,10.9,6
6.3,0.26,0.24,7.2,0.039,38,172,0.9958,3.49,0.64,9.7,6
5.9,0.25,0.25,11.3,0.052,30,165,0.997,3.24,0.44,9.5,6
9.9,0.32,0.56,2,0.073,3,8,0.99534,3.15,0.73,11.4,6
7.2,0.19,0.27,11.2,0.061,46,149,0.99772,2.99,0.59,9.3,6
6.4,0.3,0.27,4.4,0.055,17,135,0.9925,3.23,0.44,12.2,6
6.7,0.36,0.28,8.3,0.034,29,81,0.99151,2.96,0.39,12.5,6
7.1,0.17,0.43,1.3,0.023,33,132,0.99067,3.11,0.56,11.7,6
7.2,0.19,0.27,11.2,0.061,46,149,0.99772,2.99,0.59,9.3,6
7.2,0.27,0.27,2.4,0.048,30,149,0.9936,3.1,0.51,9.2,6
5.7,0.22,0.22,16.65,0.044,39,110,0.99855,3.24,0.48,9,6
6.4,0.25,0.33,1.7,0.037,35,113,0.99164,3.23,0.66,10.6,6
7.8,0.29,0.22,9.5,0.056,44,213,0.99715,3.08,0.61,9.3,6
6.6,0.24,0.28,6.7,0.032,26,91,0.99172,3.13,0.32,12.3,6
9.1,0.5,0.3,1.9,0.065,8,17,0.99774,3.32,0.71,10.5,6
6.6,0.39,0.39,11.9,0.057,51,221,0.99851,3.26,0.51,8.9,6
6.1,0.28,0.26,1.5,0.03,25,101,0.98894,3.03,0.41,12.1,6
7.9,0.58,0.23,2.3,0.076,23,94,0.99686,3.21,0.58,9.5,6
7,0.28,0.36,1,0.035,8,70,0.9899,3.09,0.46,12.1,6
7.2,0.33,0.28,1.4,0.034,26,109,0.99246,3.28,0.57,10.6,6
6.2,0.26,0.29,2,0.036,16,87,0.99081,3.33,0.61,11.8,6
8.5,0.21,0.26,9.25,0.034,73,142,0.9945,3.05,0.37,11.4,6
6.8,0.19,0.4,9.85,0.055,41,103,0.99532,2.98,0.56,10.5,6
7.8,0.3,0.29,16.85,0.054,23,135,0.9998,3.16,0.38,9,6
6.8,0.19,0.33,4.9,0.047,42,130,0.99283,3.12,0.56,11,6
9.2,0.34,0.54,17.3,0.06,46,235,1.00182,3.08,0.61,8.8,6
6.8,0.18,0.28,9.8,0.039,29,113,0.99406,3.11,0.45,10.9,7
7.6,0.33,0.35,6.3,0.036,12,126,0.9924,3.16,0.39,12,7
7.6,0.52,0.49,14,0.034,37,156,0.9958,3.14,0.38,11.8,7
11.8,0.26,0.52,1.8,0.071,6,10,0.9968,3.2,0.72,10.2,7
5.7,0.22,0.28,1.3,0.027,26,101,0.98948,3.35,0.38,12.5,7
7.2,0.44,0.28,3.4,0.048,22,112,0.99188,3.21,0.37,11.3,7
7.1,0.2,0.36,11.6,0.042,45,124,0.997,2.92,0.59,9.5,7
7,0.36,0.3,5,0.04,40,143,0.99173,3.33,0.42,12.2,7
6.7,0.3,0.29,2.8,0.025,37,107,0.99159,3.31,0.63,11.3,7
6.7,0.3,0.29,2.8,0.025,37,107,0.99159,3.31,0.63,11.3,7
7.5,0.18,0.31,11.7,0.051,24,94,0.997,3.19,0.44,9.5,7
8.4,0.17,0.31,6.7,0.038,29,132,0.9945,3.1,0.32,10.6,7
8.9,0.12,0.45,1.8,0.075,10,21,0.99552,3.41,0.76,11.9,7
7.6,0.31,0.27,8.8,0.021,57,156,0.99442,3.08,0.38,11,7
6.6,0.25,0.29,1.1,0.068,39,124,0.9914,3.34,0.58,11,7
8.3,0.28,0.48,2.1,0.093,6,12,0.99408,3.26,0.62,12.4,7
7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,7
8.8,0.31,0.4,2.8,0.109,7,16,0.99614,3.31,0.79,11.8,7
7.2,0.18,0.31,1.1,0.045,20,73,0.9925,3.32,0.4,10.8,7
6.2,0.36,0.27,3.2,0.032,13,73,0.98942,2.9,0.69,12.6,7
7.5,0.38,0.29,4.9,0.021,38,113,0.99026,3.08,0.48,13,7
7.4,0.18,0.31,1.4,0.058,38,167,0.9931,3.16,0.53,10,7
7.3,0.13,0.27,4.6,0.08,34,172,0.9938,3.23,0.39,11.1,7
5.6,0.42,0.34,2.4,0.022,34,97,0.98915,3.22,0.38,12.8,7
6.6,0.4,0.32,1.7,0.035,39,84,0.99096,3.59,0.48,12.7,7
7.6,0.4,0.27,5.2,0.03,32,101,0.99172,3.22,0.62,12.3,7
7.3,0.25,0.36,13.1,0.05,35,200,0.9986,3.04,0.46,8.9,7
11.1,0.31,0.49,2.7,0.094,16,47,0.9986,3.12,1.02,10.6,7
6.9,0.19,0.31,19.25,0.043,38,167,0.99954,2.93,0.52,9.1,7
10.6,0.36,0.57,2.3,0.087,6,20,0.99676,3.14,0.72,11.1,7
7.2,0.37,0.15,2,0.029,27,87,0.9903,3.3,0.59,12.6,7
7.2,0.33,0.34,2,0.044,61,171,0.98947,3.25,0.53,13.3,7
7,0.32,0.34,1.3,0.042,20,69,0.9912,3.31,0.65,12,7
8.6,0.2,0.42,1.5,0.041,35,125,0.9925,3.11,0.49,11.4,7
6.5,0.18,0.31,1.7,0.044,30,127,0.9928,3.49,0.5,10.2,7
7.1,0.36,0.4,1.95,0.033,26,118,0.98934,3.2,0.45,13.5,7
7.2,0.37,0.32,2,0.062,15,28,0.9947,3.23,0.73,11.3,7
6.9,0.33,0.31,4.2,0.04,21,93,0.9896,3.18,0.48,13.4,7
10.5,0.42,0.66,2.95,0.116,12,29,0.997,3.24,0.75,11.7,7
7.2,0.16,0.29,1,0.031,40,123,0.98958,3.12,0.4,12.1,7
7.2,0.25,0.28,14.4,0.055,55,205,0.9986,3.12,0.38,9,7
7,0.3,0.51,13.6,0.05,40,168,0.9976,3.07,0.52,9.6,7
5.8,0.28,0.3,1.5,0.026,31,114,0.98952,3.32,0.6,12.5,7
6.7,0.48,0.32,1.4,0.021,22,121,0.9889,3.15,0.53,12.7,7
6.4,0.28,0.29,1.6,0.052,34,127,0.9929,3.48,0.56,10.5,7
7.1,0.2,0.27,9.6,0.037,19,105,0.99444,3.04,0.37,10.5,7
7.1,0.66,0,2.4,0.052,6,11,0.99318,3.35,0.66,12.7,7
7.1,0.12,0.3,3.1,0.018,15,37,0.99004,3.02,0.52,11.9,7
9.8,0.34,0.39,1.4,0.066,3,7,0.9947,3.19,0.55,11.4,7
6.1,0.34,0.27,2.6,0.024,20,105,0.9906,3.4,0.67,12.2,7
6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,7
6.2,0.29,0.32,3.6,0.026,39,138,0.9892,3.31,0.37,13.1,7
7.3,0.28,0.42,14.4,0.04,49,173,0.9994,3.28,0.82,9,7
6.3,0.32,0.35,11.1,0.039,29,198,0.9984,3.36,0.5,9.4,7
6.4,0.18,0.31,1.6,0.049,36,127,0.9934,3.6,0.67,10.4,7
7.9,0.22,0.38,8,0.043,46,152,0.9934,3.12,0.32,11.5,7
6.9,0.19,0.33,1.6,0.039,27,98,0.9898,3.09,0.46,12.3,7
9.1,0.29,0.33,2.05,0.063,13,27,0.99516,3.26,0.84,11.7,7
6.8,0.32,0.28,4.8,0.034,25,100,0.99026,3.08,0.47,12.4,7
7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,7
6.5,0.18,0.33,1.4,0.029,35,138,0.99114,3.36,0.6,11.5,7
10.4,0.24,0.46,1.8,0.075,6,21,0.9976,3.25,1.02,10.8,7
6.6,0.39,0.22,4,0.038,17,98,0.99018,3.25,0.53,13,7
7.2,0.32,0.33,1.4,0.029,29,109,0.9902,3.15,0.51,12.8,7
8,0.37,0.32,1.6,0.04,32,166,0.992,3,0.55,11.3,7
8.2,0.18,0.49,1.1,0.033,28,81,0.9923,3,0.68,10.4,7
8,0.23,0.35,9.2,0.044,53,186,0.997,3.09,0.56,9.5,7
7.9,0.44,0.37,5.85,0.033,27,93,0.992,3.16,0.54,12.6,7
8.2,0.42,0.29,4.1,0.03,31,100,0.9911,3,0.32,12.8,7
6.5,0.32,0.45,7.7,0.022,31,97,0.99134,3.2,0.7,12.7,7
6.7,0.13,0.28,1.2,0.046,35,140,0.9927,3.33,0.33,10.1,7
10.2,0.44,0.42,2,0.071,7,20,0.99566,3.14,0.79,11.1,7
6.3,0.22,0.34,5,0.032,36,93,0.99012,3.27,0.36,13.5,7
6.7,0.34,0.3,8.5,0.059,24,152,0.99615,3.46,0.64,11,7
7.1,0.33,0.3,3.3,0.034,30,102,0.9912,3.08,0.31,12.3,7
6,0.34,0.32,3.8,0.044,13,116,0.99108,3.39,0.44,11.8,7
6.2,0.3,0.31,1.6,0.035,40,106,0.98914,3.26,0.39,12.9,7
7.3,0.65,0,1.2,0.065,15,21,0.9946,3.39,0.47,10,7
7.7,0.44,0.24,11.2,0.031,41,167,0.9948,3.12,0.43,11.3,7
6.2,0.28,0.22,7.3,0.041,26,157,0.9957,3.44,0.64,9.8,7
6.1,0.27,0.31,1.5,0.035,17,83,0.99076,3.32,0.44,11.1,7
11.1,0.42,0.47,2.65,0.085,9,34,0.99736,3.24,0.77,12.1,7
6.5,0.16,0.34,1.4,0.029,29,133,0.99108,3.33,0.64,11.5,7
10,0.31,0.47,2.6,0.085,14,33,0.99965,3.36,0.8,10.5,7
6,0.32,0.3,1.9,0.033,41,142,0.98912,3.29,0.42,12.8,7
6.6,0.17,0.38,1.5,0.032,28,112,0.9914,3.25,0.55,11.4,7
6.8,0.31,0.3,8,0.028,33,122,0.99164,3.13,0.63,12.6,7
10.1,0.43,0.4,2.6,0.092,13,52,0.99834,3.22,0.64,10,7
6.1,0.16,0.34,6.1,0.034,31,114,0.99365,3.32,0.58,10.15,7
7.4,0.49,0.24,15.1,0.03,34,153,0.9953,3.13,0.51,12,7
4.8,0.26,0.23,10.6,0.034,23,111,0.99274,3.46,0.28,11.5,7
11.1,0.31,0.53,2.2,0.06,3,10,0.99572,3.02,0.83,10.9,7
5.6,0.22,0.32,1.2,0.024,29,97,0.98823,3.2,0.46,13.05,7
6.6,0.25,0.3,1.6,0.046,32,134,0.993,3.42,0.51,10.1,7
6.4,0.25,0.37,4.5,0.039,41,147,0.9921,3.18,0.4,11.1,7
6.6,0.26,0.21,2.9,0.026,48,126,0.99089,3.22,0.38,11.3,7
6.8,0.18,0.28,9.8,0.039,29,113,0.99406,3.11,0.45,10.9,7
5.2,0.2,0.27,3.2,0.047,16,93,0.99235,3.44,0.53,10.1,7
5.6,0.49,0.13,4.5,0.039,17,116,0.9907,3.42,0.9,13.7,7
8.9,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5,7
7,0.2,0.34,2.1,0.049,12,136,0.9922,3.25,0.46,11.6,7
6.3,0.22,0.28,2.4,0.042,38,102,0.98998,3.14,0.37,11.6,7
7.3,0.25,0.36,13.1,0.05,35,200,0.9986,3.04,0.46,8.9,7
7.9,0.14,0.45,1.8,0.05,17,114,0.9948,3.33,0.49,10.7,7
8.3,0.21,0.4,1.6,0.032,35,110,0.9907,3.02,0.6,12.9,7
7.1,0.35,0.27,3.1,0.034,28,134,0.9897,3.26,0.38,13.1,7
7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,7
8.2,0.28,0.4,2.4,0.052,4,10,0.99356,3.33,0.7,12.8,7
7.6,0.31,0.49,3.95,0.044,27,131,0.9912,3.08,0.67,12.8,7
10.5,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11,7
6.1,0.44,0.28,4.25,0.032,43,132,0.9916,3.26,0.47,11.266667,7
6.9,0.15,0.29,2.3,0.033,14,82,0.99132,3.1,0.58,11.2,7
7,0.23,0.35,1.4,0.036,31,113,0.9912,3.16,0.48,10.8,7
8,0.31,0.45,2.1,0.216,5,16,0.99358,3.15,0.81,12.5,7
5.6,0.28,0.28,4.2,0.044,52,158,0.992,3.35,0.44,10.7,7
6.2,0.2,0.33,5.4,0.028,21,75,0.99012,3.36,0.41,13.5,7
7.5,0.26,0.3,4.6,0.027,29,92,0.99085,3.15,0.38,12,7
6.2,0.2,0.26,9.7,0.03,39,102,0.9908,3.08,0.56,12.9,7
8.9,0.12,0.45,1.8,0.075,10,21,0.99552,3.41,0.76,11.9,7
6,0.22,0.33,12.2,0.033,25,97,0.99356,3.17,0.42,11.3,7
6.8,0.16,0.4,2.3,0.037,18,102,0.9923,3.49,0.42,11.4,7
6.2,0.39,0.24,4.8,0.037,45,138,0.99174,3.23,0.43,11.2,7
6.2,0.25,0.25,1.4,0.03,35,105,0.9912,3.3,0.44,11.1,7
7,0.32,0.27,7.1,0.027,37,122,0.99165,3.15,0.6,12.6,7
11.9,0.43,0.66,3.1,0.109,10,23,1,3.15,0.85,10.4,7
6.2,0.1,0.41,1,0.04,17,76,0.98988,3.14,0.56,11.4,7
7,0.17,0.33,4,0.034,17,127,0.9934,3.19,0.39,10.6,7
7.4,0.24,0.26,1.6,0.058,53,150,0.9936,3.18,0.5,9.9,7
6.7,0.21,0.42,9.1,0.049,31,150,0.9953,3.12,0.74,9.9,7
7.8,0.32,0.44,2.7,0.104,8,17,0.99732,3.33,0.78,11,7
7.5,0.24,0.49,9.4,0.048,50,149,0.9962,3.17,0.59,10.5,7
6.1,0.25,0.3,1.2,0.036,42,107,0.991,3.34,0.56,10.8,7
6.2,0.16,0.33,1.1,0.057,21,82,0.991,3.32,0.46,10.9,7
7.3,0.33,0.4,6.85,0.038,32,138,0.992,3.03,0.3,11.9,7
6.7,0.35,0.32,9,0.032,29,113,0.99188,3.13,0.65,12.9,7
7.1,0.59,0,2.1,0.091,9,14,0.99488,3.42,0.55,11.5,7
7.4,0.18,0.24,1.4,0.047,21,106,0.99383,3.52,0.64,10.5,7
11.7,0.28,0.47,1.7,0.054,17,32,0.99686,3.15,0.67,10.6,7
5.8,0.35,0.29,3.2,0.034,41,151,0.9912,3.35,0.58,11.633333,7
7.1,0.21,0.32,2.2,0.037,28,141,0.993,3.2,0.57,10,7
5.3,0.4,0.25,3.9,0.031,45,130,0.99072,3.31,0.58,11.75,7
11.6,0.41,0.54,1.5,0.095,22,41,0.99735,3.02,0.76,9.9,7
7,0.16,0.36,2.6,0.029,28,98,0.99126,3.11,0.37,11.2,7
6.5,0.33,0.3,3.8,0.036,34,88,0.99028,3.25,0.63,12.5,7
8.5,0.32,0.42,2.3,0.075,12,19,0.99434,3.14,0.71,11.8,7
6.8,0.23,0.3,1.7,0.043,19,95,0.99207,3.17,0.46,10.7,7
6.5,0.22,0.27,1.6,0.039,36,116,0.99178,3.38,0.57,11,7
12,0.5,0.59,1.4,0.073,23,42,0.998,2.92,0.68,10.5,7
7.5,0.17,0.32,1.7,0.04,51,148,0.9916,3.21,0.44,11.5,7
6.9,0.22,0.37,15,0.053,59,178,0.9992,3.37,0.82,9.5,7
6.6,0.21,0.6,1.1,0.135,61,144,0.9927,3.12,0.39,9.3,7
7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,7
5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5,7
6.5,0.19,0.32,1.4,0.04,31,132,0.9922,3.36,0.54,10.8,7
6.3,0.41,0.3,3.2,0.03,49,164,0.9927,3.53,0.79,11.7,7
7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,7
6.4,0.25,0.33,1.4,0.04,42,115,0.9906,3.19,0.48,11.3,7
6.5,0.36,0.38,10.2,0.028,20,82,0.99274,3.1,0.43,12.1,7
7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,7
6.8,0.31,0.3,8,0.028,33,122,0.99164,3.13,0.63,12.6,7
6.9,0.24,0.39,1.3,0.063,18,136,0.9928,3.31,0.48,10.4,7
8,0.45,0.28,10.8,0.051,25,157,0.9957,3.06,0.47,11.4,7
6.5,0.15,0.44,12.6,0.052,65,158,0.99688,3.26,0.7,10.3,7
6.5,0.23,0.39,1.9,0.036,41,98,0.99,3.19,0.43,11.9,7
7.2,0.23,0.39,2.3,0.033,29,102,0.9908,3.26,0.54,12.3,7
10.5,0.51,0.64,2.4,0.107,6,15,0.9973,3.09,0.66,11.8,7
6.8,0.32,0.34,1.2,0.044,14,67,0.9919,3.05,0.47,10.6,4
8.5,0.22,0.34,0.7,0.04,5,25,0.9918,3.04,0.37,10.5,4
6.3,0.6,0.44,11,0.05,50,245,0.9972,3.19,0.57,9.3,4
6.7,0.22,0.22,1.2,0.038,5,124,0.99098,3.1,0.37,11.2,4
6.9,0.2,0.34,1.9,0.043,25,136,0.9935,3.31,0.6,10.1,4
7.6,0.31,0.49,13.4,0.062,50,191,0.9989,3.22,0.53,9,4
6.5,0.28,0.28,8.5,0.047,54,210,0.9962,3.09,0.54,8.9,4
4.6,0.52,0.15,2.1,0.054,8,65,0.9934,3.9,0.56,13.1,4
6.5,0.32,0.48,8,0.026,18,88,0.99144,3.22,0.79,12.7,4
7.1,0.21,0.28,2.7,0.034,23,111,0.99405,3.35,0.64,10.2,4
6.1,0.38,0.14,3.9,0.06,27,113,0.99344,3.07,0.34,9.2,4
5.3,0.43,0.11,1.1,0.029,6,51,0.99076,3.51,0.48,11.2,4
7.2,0.615,0.1,1.4,0.068,25,154,0.99499,3.2,0.48,9.7,4
12,0.63,0.5,1.4,0.071,6,26,0.99791,3.07,0.6,10.4,4
6.9,0.25,0.24,3.6,0.057,13,85,0.9942,2.99,0.48,9.5,4
6.9,0.41,0.22,4.2,0.031,10,102,0.993,3,0.86,11.6,4
9.1,0.765,0.04,1.6,0.078,4,14,0.998,3.29,0.54,9.7,4
7.4,0.59,0.08,4.4,0.086,6,29,0.9974,3.38,0.5,9,4
8.2,0.29,0.49,1,0.044,29,118,0.9928,3.24,0.36,10.9,4
7,0.975,0.04,2,0.087,12,67,0.99565,3.35,0.6,9.4,4
11.6,0.47,0.44,1.6,0.147,36,51,0.99836,3.38,0.86,9.9,4
8.5,0.17,0.49,8.8,0.048,23,108,0.9947,2.88,0.34,10.5,4
7.5,0.685,0.07,2.5,0.058,5,9,0.99632,3.38,0.55,10.9,4
7.2,0.5,0,0.8,0.034,46,114,0.9932,3.19,0.34,9.2,4
9.2,0.16,0.49,2,0.044,18,107,0.99514,3.1,0.53,10.2,4
8.2,0.78,0,2.2,0.089,13,26,0.9978,3.37,0.46,9.6,4
7.5,0.34,0.24,3.85,0.031,5,34,0.99098,3.01,0.36,11.8,4
9,0.43,0.3,1.5,0.05,7,175,0.9951,3.11,0.45,9.7,4
5.9,0.655,0,5.6,0.033,8,31,0.9936,3.32,0.51,10.5,4
6.2,0.255,0.24,1.7,0.039,138.5,272,0.99452,3.53,0.53,9.6,4
7.6,0.31,0.23,12.7,0.054,20,139,0.99836,3.16,0.5,9.7,4
6.8,0.91,0.06,2,0.06,4,11,0.99592,3.53,0.64,10.9,4
8.8,0.61,0.3,2.8,0.088,17,46,0.9976,3.26,0.51,9.3,4
5.4,0.45,0.27,6.4,0.033,20,102,0.98944,3.22,0.27,13.4,8
7,0.28,0.26,1.7,0.042,34,130,0.9925,3.43,0.5,10.7,8
5.8,0.21,0.32,1.6,0.045,38,95,0.98946,3.23,0.94,12.4,8
6.8,0.35,0.32,2.4,0.048,35,103,0.9911,3.28,0.46,12,8
6.5,0.18,0.34,1.6,0.04,43,148,0.9912,3.32,0.59,11.5,8
6.5,0.26,0.31,3.6,0.03,36,92,0.99026,3.22,0.62,12.6,8
5.2,0.155,0.33,1.6,0.028,13,59,0.98975,3.3,0.84,11.9,8
7.3,0.3,0.34,2.7,0.044,34,108,0.99105,3.36,0.53,12.8,8
7.1,0.47,0.29,14.8,0.024,22,142,0.99518,3.12,0.48,12,8
7.6,0.2,0.3,14.2,0.056,53,212.5,0.999,3.14,0.46,8.9,8
7,0.23,0.36,7.1,0.028,31,104,0.9922,3.35,0.47,12.1,8
5.3,0.3,0.16,4.2,0.029,37,100,0.9905,3.3,0.36,11.8,8
7.3,0.25,0.36,2.1,0.034,30,177,0.99085,3.25,0.4,11.9,8
